"";"dw08";"sex";"educ";"dw18";"dg10";"dw19c"
"2746";"BEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"BAYERN";NA
"2747";"UNBEFRISTET";"MANN";"FACHHOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"2748";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"2749";NA;"FRAU";"FACHHOCHSCHULREIFE";"NEIN";"SACHSEN-ANHALT";NA
"2750";"UNBEFRISTET";"FRAU";"VOLKS-,HAUPTSCHULE";"NEIN";"BADEN-WUERTTEMBERG";NA
"2751";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"BAYERN";NA
"2752";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"NIEDERSACHSEN";NA
"2753";"BEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"SONSTIGES LAND";"104 UND MEHR WOCHEN"
"2754";NA;"MANN";"MITTLERE REIFE";NA;"BRANDENBURG";NA
"2755";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"2756";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"JA";"NIEDERSACHSEN";"4 BIS 11 WOCHEN"
"2757";NA;"MANN";"HOCHSCHULREIFE";NA;"MECKLENB.-VORPOMMERN";NA
"2758";NA;"MANN";"HOCHSCHULREIFE";NA;"BAYERN";NA
"2759";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN-ANHALT";NA
"2760";NA;"MANN";"MITTLERE REIFE";NA;"SACHSEN-ANHALT";NA
"2761";NA;"MANN";"HOCHSCHULREIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"2762";NA;"MANN";"MITTLERE REIFE";NA;"NORDRHEIN-WESTFALEN";NA
"2763";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"SAARLAND";NA
"2764";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"NIEDERSACHSEN";NA
"2765";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"SONSTIGES LAND";NA
"2766";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"BADEN-WUERTTEMBERG";NA
"2767";NA;"MANN";"HOCHSCHULREIFE";NA;"EHEM. BERLIN-WEST";NA
"2768";NA;"FRAU";"MITTLERE REIFE";NA;"BADEN-WUERTTEMBERG";NA
"2769";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"BADEN-WUERTTEMBERG";NA
"2770";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SONSTIGES LAND";NA
"2771";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"SACHSEN";"104 UND MEHR WOCHEN"
"2772";NA;"MANN";"MITTLERE REIFE";NA;"SACHSEN-ANHALT";NA
"2773";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"BADEN-WUERTTEMBERG";NA
"2774";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"2775";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"NIEDERSACHSEN";NA
"2776";NA;"MANN";"FACHHOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"2777";NA;"MANN";"MITTLERE REIFE";NA;"SACHSEN";NA
"2778";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"BAYERN";NA
"2779";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"JA";"BRANDENBURG";"104 UND MEHR WOCHEN"
"2780";"BEFRISTET";"MANN";"FACHHOCHSCHULREIFE";"JA";"NORDRHEIN-WESTFALEN";"26 BIS 51 WOCHEN"
"2781";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"NIEDERSACHSEN";NA
"2782";NA;"FRAU";"OHNE ABSCHLUSS";NA;"BRANDENBURG";NA
"2783";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"THUERINGEN";NA
"2784";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"BADEN-WUERTTEMBERG";NA
"2785";NA;"MANN";"HOCHSCHULREIFE";NA;"BADEN-WUERTTEMBERG";NA
"2786";NA;"MANN";"NOCH SCHUELER";NA;"HESSEN";NA
"2787";NA;"MANN";NA;NA;"SONSTIGES LAND";NA
"2788";"BEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"SACHSEN";NA
"2789";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"RHEINLAND-PFALZ";NA
"2790";NA;"FRAU";"HOCHSCHULREIFE";NA;"BADEN-WUERTTEMBERG";NA
"2791";NA;"FRAU";"HOCHSCHULREIFE";NA;"SONSTIGES LAND";NA
"2792";NA;"FRAU";"HOCHSCHULREIFE";NA;"BADEN-WUERTTEMBERG";NA
"2793";NA;"MANN";"VOLKS-,HAUPTSCHULE";"JA";"BRANDENBURG";"52 BIS 103 WOCHEN"
"2794";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"2795";NA;"FRAU";"MITTLERE REIFE";NA;"THUERINGEN";NA
"2796";NA;"FRAU";"HOCHSCHULREIFE";"JA";"SACHSEN";"26 BIS 51 WOCHEN"
"2797";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN";NA
"2798";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"SONSTIGES LAND";NA
"2799";NA;"MANN";"FACHHOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"2800";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"2801";NA;"MANN";"MITTLERE REIFE";NA;"BADEN-WUERTTEMBERG";NA
"2802";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN-ANHALT";NA
"2803";"UNBEFRISTET";"FRAU";"VOLKS-,HAUPTSCHULE";"NEIN";"BADEN-WUERTTEMBERG";NA
"2804";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"JA";"EHEM. BERLIN-WEST";"26 BIS 51 WOCHEN"
"2805";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"2806";NA;"MANN";"HOCHSCHULREIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"2807";NA;"MANN";"MITTLERE REIFE";NA;"SACHSEN-ANHALT";NA
"2808";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"2809";"BEFRISTET";"MANN";"OHNE ABSCHLUSS";"JA";"BRANDENBURG";"104 UND MEHR WOCHEN"
"2810";NA;"FRAU";"HOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"2811";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN";NA
"2812";"UNBEFRISTET";"MANN";"FACHHOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"2813";"UNBEFRISTET";"FRAU";"VOLKS-,HAUPTSCHULE";"NEIN";"SONSTIGES LAND";NA
"2814";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"NIEDERSACHSEN";NA
"2815";NA;"MANN";"HOCHSCHULREIFE";NA;"BADEN-WUERTTEMBERG";NA
"2816";NA;"FRAU";"MITTLERE REIFE";NA;"SCHLESWIG-HOLSTEIN";NA
"2817";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"JA";"SONSTIGES LAND";"4 BIS 11 WOCHEN"
"2818";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"NIEDERSACHSEN";NA
"2819";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"2820";NA;"FRAU";"MITTLERE REIFE";NA;"BAYERN";NA
"2821";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"BRANDENBURG";NA
"2822";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"HESSEN";NA
"2823";NA;"FRAU";"HOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"2824";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"THUERINGEN";NA
"2825";"UNBEFRISTET";"MANN";"OHNE ABSCHLUSS";"NEIN";"BAYERN";NA
"2826";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"JA";"NORDRHEIN-WESTFALEN";"26 BIS 51 WOCHEN"
"2827";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"JA";"BAYERN";"52 BIS 103 WOCHEN"
"2828";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"HAMBURG";NA
"2829";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"EHEM. BERLIN-OST";"104 UND MEHR WOCHEN"
"2830";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"BAYERN";NA
"2831";"BEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"NIEDERSACHSEN";"4 BIS 11 WOCHEN"
"2832";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"SACHSEN";NA
"2833";NA;"MANN";"HOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"2834";NA;"FRAU";"ANDERER ABSCHLUSS";NA;"EHEM. BERLIN-WEST";NA
"2835";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN-ANHALT";NA
"2836";NA;"FRAU";"FACHHOCHSCHULREIFE";NA;"SONSTIGES LAND";NA
"2837";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN-ANHALT";NA
"2838";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"SONSTIGES LAND";NA
"2839";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"2840";"BEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"HESSEN";NA
"2841";NA;"FRAU";"MITTLERE REIFE";NA;"SACHSEN";NA
"2842";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"2843";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"EHEM. BERLIN-WEST";NA
"2844";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"2845";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"BRANDENBURG";NA
"2846";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"2847";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"JA";"BADEN-WUERTTEMBERG";"104 UND MEHR WOCHEN"
"2848";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"NIEDERSACHSEN";NA
"2849";"UNBEFRISTET";"FRAU";"FACHHOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"2850";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"RHEINLAND-PFALZ";NA
"2851";NA;"FRAU";"HOCHSCHULREIFE";NA;"THUERINGEN";NA
"2852";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"2853";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"2854";NA;"FRAU";"HOCHSCHULREIFE";NA;"BAYERN";NA
"2855";NA;"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"BADEN-WUERTTEMBERG";NA
"2856";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"2857";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"BAYERN";NA
"2858";NA;"FRAU";"MITTLERE REIFE";NA;"THUERINGEN";NA
"2859";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"MECKLENB.-VORPOMMERN";NA
"2860";NA;"MANN";"MITTLERE REIFE";NA;"SACHSEN-ANHALT";NA
"2861";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN-ANHALT";NA
"2862";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"THUERINGEN";NA
"2863";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"BAYERN";NA
"2864";"BEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"BRANDENBURG";"12 BIS 25 WOCHEN"
"2865";NA;"FRAU";"MITTLERE REIFE";NA;"SACHSEN-ANHALT";NA
"2866";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"BADEN-WUERTTEMBERG";NA
"2867";NA;"MANN";"MITTLERE REIFE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"2868";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"EHEM. BERLIN-OST";NA
"2869";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"BRANDENBURG";NA
"2870";NA;"FRAU";"HOCHSCHULREIFE";"NEIN";"SONSTIGES LAND";NA
"2871";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"BAYERN";NA
"2872";NA;"FRAU";"HOCHSCHULREIFE";NA;"BAYERN";NA
"2873";NA;"FRAU";"HOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"2874";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"JA";"SACHSEN";"UNTER 4 WOCHEN"
"2875";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"SCHLESWIG-HOLSTEIN";NA
"2876";NA;"MANN";"HOCHSCHULREIFE";NA;"HESSEN";NA
"2877";"BEFRISTET";"FRAU";"HOCHSCHULREIFE";"JA";"HESSEN";"26 BIS 51 WOCHEN"
"2878";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"BREMEN";"4 BIS 11 WOCHEN"
"2879";NA;"FRAU";"HOCHSCHULREIFE";NA;"SACHSEN";NA
"2880";NA;"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN";NA
"2881";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"SACHSEN-ANHALT";NA
"2882";NA;"FRAU";"MITTLERE REIFE";NA;"SCHLESWIG-HOLSTEIN";NA
"2883";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"JA";"MECKLENB.-VORPOMMERN";"12 BIS 25 WOCHEN"
"2884";NA;"MANN";"MITTLERE REIFE";NA;"SACHSEN-ANHALT";NA
"2885";NA;"FRAU";"HOCHSCHULREIFE";"NEIN";"SACHSEN";NA
"2886";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"NIEDERSACHSEN";NA
"2887";NA;"MANN";"MITTLERE REIFE";NA;"SACHSEN-ANHALT";NA
"2888";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"2889";"BEFRISTET";"FRAU";"VOLKS-,HAUPTSCHULE";"JA";"SACHSEN";"104 UND MEHR WOCHEN"
"2890";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN";NA
"2891";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"HESSEN";NA
"2892";NA;"MANN";"MITTLERE REIFE";NA;"SACHSEN-ANHALT";NA
"2893";NA;"MANN";"MITTLERE REIFE";NA;"BRANDENBURG";NA
"2894";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN";NA
"2895";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"SCHLESWIG-HOLSTEIN";NA
"2896";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"2897";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN";NA
"2898";NA;"MANN";"FACHHOCHSCHULREIFE";NA;"BRANDENBURG";NA
"2899";"BEFRISTET";"MANN";"FACHHOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"2900";"BEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"NIEDERSACHSEN";NA
"2901";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"BRANDENBURG";NA
"2902";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"2903";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN";NA
"2904";NA;"FRAU";"MITTLERE REIFE";NA;"RHEINLAND-PFALZ";NA
"2905";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"2906";NA;"MANN";"HOCHSCHULREIFE";NA;"THUERINGEN";NA
"2907";NA;"MANN";"HOCHSCHULREIFE";NA;"BAYERN";NA
"2908";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"SACHSEN";NA
"2909";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"BRANDENBURG";NA
"2910";NA;"MANN";"FACHHOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"2911";NA;"MANN";"HOCHSCHULREIFE";NA;"BADEN-WUERTTEMBERG";NA
"2912";"UNBEFRISTET";"FRAU";"FACHHOCHSCHULREIFE";"NEIN";"SACHSEN-ANHALT";NA
"2913";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"HESSEN";NA
"2914";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"HESSEN";NA
"2915";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"JA";"SACHSEN";"104 UND MEHR WOCHEN"
"2916";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"BAYERN";NA
"2917";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"2918";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN-ANHALT";NA
"2919";NA;"MANN";"FACHHOCHSCHULREIFE";NA;"SCHLESWIG-HOLSTEIN";NA
"2920";NA;"FRAU";"FACHHOCHSCHULREIFE";NA;"THUERINGEN";NA
"2921";"BEFRISTET";"FRAU";"VOLKS-,HAUPTSCHULE";"JA";"SONSTIGES LAND";"26 BIS 51 WOCHEN"
"2922";NA;"FRAU";"HOCHSCHULREIFE";NA;"HESSEN";NA
"2923";NA;"FRAU";"MITTLERE REIFE";NA;"EHEM. BERLIN-OST";NA
"2924";NA;"FRAU";"FACHHOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"2925";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"JA";"SCHLESWIG-HOLSTEIN";"UNTER 4 WOCHEN"
"2926";NA;"FRAU";"HOCHSCHULREIFE";NA;"EHEM. BERLIN-WEST";NA
"2927";NA;"MANN";"HOCHSCHULREIFE";NA;"FRUEHERE DT.OSTGEB.";NA
"2928";NA;"FRAU";"MITTLERE REIFE";NA;"BAYERN";NA
"2929";NA;"FRAU";"MITTLERE REIFE";NA;"BAYERN";NA
"2930";NA;"MANN";"MITTLERE REIFE";"NEIN";"SACHSEN-ANHALT";NA
"2931";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"SACHSEN";NA
"2932";NA;"MANN";"MITTLERE REIFE";NA;"NORDRHEIN-WESTFALEN";NA
"2933";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"BAYERN";NA
"2934";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"SONSTIGES LAND";NA
"2935";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"2936";"UNBEFRISTET";"FRAU";"VOLKS-,HAUPTSCHULE";"NEIN";"BAYERN";NA
"2937";NA;"MANN";"HOCHSCHULREIFE";"NEIN";"SONSTIGES LAND";NA
"2938";NA;"FRAU";"HOCHSCHULREIFE";NA;"SONSTIGES LAND";NA
"2939";"BEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"EHEM. BERLIN-OST";"104 UND MEHR WOCHEN"
"2940";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"NIEDERSACHSEN";NA
"2941";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"THUERINGEN";"12 BIS 25 WOCHEN"
"2942";NA;"MANN";"MITTLERE REIFE";NA;"SCHLESWIG-HOLSTEIN";NA
"2943";NA;"MANN";"HOCHSCHULREIFE";NA;"BRANDENBURG";NA
"2944";"UNBEFRISTET";"FRAU";"VOLKS-,HAUPTSCHULE";"NEIN";"HAMBURG";NA
"2945";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"SACHSEN-ANHALT";NA
"2946";"BEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"MECKLENB.-VORPOMMERN";"12 BIS 25 WOCHEN"
"2947";"UNBEFRISTET";"FRAU";"VOLKS-,HAUPTSCHULE";"NEIN";"SONSTIGES LAND";NA
"2948";NA;"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"2949";NA;"MANN";"HOCHSCHULREIFE";NA;"BAYERN";NA
"2950";NA;"FRAU";"MITTLERE REIFE";NA;"NORDRHEIN-WESTFALEN";NA
"2951";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"HESSEN";NA
"2952";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"2953";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"EHEM. BERLIN-WEST";NA
"2954";NA;"FRAU";"FACHHOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"2955";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"NIEDERSACHSEN";NA
"2956";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"THUERINGEN";NA
"2957";NA;"MANN";"HOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"2958";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"BADEN-WUERTTEMBERG";NA
"2959";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"THUERINGEN";NA
"2960";NA;"FRAU";"MITTLERE REIFE";NA;"NIEDERSACHSEN";NA
"2961";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"2962";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"FRUEHERE DT.OSTGEB.";NA
"2963";NA;"FRAU";"MITTLERE REIFE";NA;"MECKLENB.-VORPOMMERN";NA
"2964";NA;"FRAU";"MITTLERE REIFE";NA;"SACHSEN-ANHALT";NA
"2965";NA;"MANN";"OHNE ABSCHLUSS";NA;"SACHSEN-ANHALT";NA
"2966";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"RHEINLAND-PFALZ";NA
"2967";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"2968";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"2969";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"2970";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"2971";NA;"FRAU";"MITTLERE REIFE";NA;"NORDRHEIN-WESTFALEN";NA
"2972";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"HESSEN";NA
"2973";"UNBEFRISTET";"MANN";"FACHHOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"2974";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"BAYERN";NA
"2975";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"SONSTIGES LAND";NA
"2976";NA;"MANN";"MITTLERE REIFE";NA;"SACHSEN";NA
"2977";"UNBEFRISTET";"FRAU";"FACHHOCHSCHULREIFE";"NEIN";"SACHSEN";NA
"2978";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"JA";"BAYERN";"52 BIS 103 WOCHEN"
"2979";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN-ANHALT";NA
"2980";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"BAYERN";NA
"2981";"UNBEFRISTET";"FRAU";"VOLKS-,HAUPTSCHULE";"NEIN";"RHEINLAND-PFALZ";NA
"2982";NA;"FRAU";"MITTLERE REIFE";NA;"NORDRHEIN-WESTFALEN";NA
"2983";"UNBEFRISTET";"MANN";"FACHHOCHSCHULREIFE";"NEIN";"HESSEN";NA
"2984";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"JA";"THUERINGEN";"26 BIS 51 WOCHEN"
"2985";NA;"MANN";"MITTLERE REIFE";NA;"BADEN-WUERTTEMBERG";NA
"2986";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"RHEINLAND-PFALZ";NA
"2987";NA;"FRAU";"HOCHSCHULREIFE";NA;"HESSEN";NA
"2988";NA;"MANN";"MITTLERE REIFE";NA;"NORDRHEIN-WESTFALEN";NA
"2989";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"2990";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"NIEDERSACHSEN";NA
"2991";NA;"FRAU";"MITTLERE REIFE";NA;"NORDRHEIN-WESTFALEN";NA
"2992";NA;"FRAU";"HOCHSCHULREIFE";NA;"BAYERN";NA
"2993";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"MECKLENB.-VORPOMMERN";NA
"2994";NA;"MANN";"HOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"2995";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"BADEN-WUERTTEMBERG";NA
"2996";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"EHEM. BERLIN-WEST";NA
"2997";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"BADEN-WUERTTEMBERG";NA
"2998";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"EHEM. BERLIN-OST";NA
"2999";NA;"FRAU";"MITTLERE REIFE";NA;"MECKLENB.-VORPOMMERN";NA
"3000";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"MECKLENB.-VORPOMMERN";NA
"3001";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"JA";"NIEDERSACHSEN";"26 BIS 51 WOCHEN"
"3002";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"NIEDERSACHSEN";NA
"3003";NA;"FRAU";"MITTLERE REIFE";NA;"SACHSEN";NA
"3004";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"THUERINGEN";NA
"3005";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"3006";NA;"MANN";"HOCHSCHULREIFE";NA;"BAYERN";NA
"3007";NA;"FRAU";"MITTLERE REIFE";NA;"SACHSEN";NA
"3008";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"SACHSEN";NA
"3009";NA;"MANN";"FACHHOCHSCHULREIFE";"NEIN";"SACHSEN-ANHALT";NA
